w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001092,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001001124,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001001138,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001149,89,19,46,24,8,56,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,86,0,1,0,1,1,88,1,5,27,31,7,53,36,0,0,0,0,0,0,0,0,0,0,20230321
490011001001150,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,23,12,8,3,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,21,1,0,1,0,0,18,5,2,4,4,1,10,13,0,0,0,0,0,0,0,0,0,0,20230321
490011001001215,7,2,3,2,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,2,3,0,5,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001286,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002000,2,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002008,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002009,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002016,10,5,4,1,4,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,9,1,0,1,2,2,4,6,0,0,0,0,0,0,0,0,0,0,20230321
490011001002019,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002031,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002048,11,3,6,2,2,6,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,9,2,0,5,1,2,9,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002050,4,3,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002055,12,0,7,5,2,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,4,0,0,12,0,0,0,0,0,12,0,0,3,5,4,6,6,0,0,0,0,0,0,0,0,0,0,20230321
490011001002063,3,0,1,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002066,8,1,6,1,0,1,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,4,1,2,8,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002076,15,6,4,5,8,4,3,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,12,3,3,3,2,1,13,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002077,23,11,10,2,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,22,1,0,0,0,0,21,2,2,4,4,2,6,17,0,0,0,0,0,0,0,0,0,0,20230321
490011001003001,25,9,13,3,11,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,9,0,0,24,0,1,0,0,0,21,4,1,9,4,2,15,10,0,0,0,0,0,0,0,0,0,0,20230321
490011001003002,43,29,11,3,31,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,0,39,0,2,0,0,2,35,8,3,6,3,2,21,22,0,0,0,0,0,0,0,0,0,0,20230321
490011001003004,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001003006,216,44,134,38,57,105,54,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,175,0,0,0,0,213,0,0,1,1,1,212,4,11,55,70,36,60,156,0,0,0,0,0,0,0,0,0,0,20230321
490011001003009,7,2,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,6,1,1,3,1,0,2,5,0,0,0,0,0,0,0,0,0,0,20230321
