w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001101,6,0,0,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001001117,5,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,4,1,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001122,73,27,32,14,42,22,9,0,0,0,3,0,1,34,0,0,1,0,0,0,0,0,0,0,34,0,0,63,2,1,5,0,2,66,7,7,18,14,7,37,36,0,0,0,0,0,0,0,0,0,0,20230321
490011001001138,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001140,14,5,6,3,4,8,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,12,2,1,2,3,3,11,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001001153,28,2,14,12,3,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,27,1,2,11,8,5,18,10,0,0,0,0,0,0,0,0,0,0,20230321
490011001001158,63,10,37,16,7,26,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,58,0,1,0,2,2,62,1,2,18,22,11,45,18,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,49,24,14,11,24,21,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,25,0,0,44,0,1,1,0,3,43,6,3,7,7,8,25,24,0,0,0,0,0,0,0,0,0,0,20230321
490011001001176,7,5,1,1,3,3,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,1,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,20230321
490011001001193,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,20230321
