w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001004,9,0,5,4,4,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,3,0,0,9,0,3,1,1,4,5,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001001060,6,6,0,0,2,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001096,4,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001122,91,37,39,15,42,39,10,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,51,0,0,83,1,3,3,0,1,80,11,11,11,20,12,42,49,0,0,0,0,0,0,0,0,0,0,20230321
490011001001140,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001156,11,7,3,1,5,4,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,11,0,0,0,4,0,5,6,0,0,0,0,0,0,0,0,0,0,20230321
490011001001158,100,11,60,29,11,18,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,84,95,0,1,2,1,1,96,4,12,30,27,20,60,40,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,44,14,17,13,21,20,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,25,0,0,40,3,1,0,0,0,36,8,4,10,14,2,18,26,0,0,0,0,0,0,0,0,0,0,20230321
490011001001176,6,1,3,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,5,3,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,20230321
490011001001184,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001208,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001213,4,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001215,11,2,6,3,4,1,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,8,3,3,3,1,2,6,5,0,0,0,0,0,0,0,0,0,0,20230321
490011001001286,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002001,23,16,5,2,8,2,13,0,0,0,17,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,3,4,0,14,9,0,0,0,0,0,0,0,0,0,0,20230321
490011001002006,14,0,7,7,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,14,0,1,4,7,2,10,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001002007,7,1,4,2,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,6,3,2,1,0,6,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002008,64,19,33,12,34,26,4,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,0,0,38,0,0,62,1,0,1,0,0,60,4,8,15,13,9,20,44,0,0,0,0,0,0,0,0,0,0,20230321
490011001002009,11,2,5,4,4,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,11,0,1,5,3,0,7,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001002012,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002014,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002015,67,33,16,18,36,25,6,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,0,0,18,0,0,63,2,1,1,0,0,62,5,7,12,8,7,26,41,0,0,0,0,0,0,0,0,0,0,20230321
