w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001096,3,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001101,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001117,10,7,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,1,0,0,0,0,9,1,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,0,20230321
490011001001122,78,29,36,13,36,33,9,0,0,0,4,0,0,32,0,0,0,0,0,1,0,0,0,0,41,0,0,67,2,0,4,2,3,67,11,10,11,24,4,36,42,0,0,0,0,0,0,0,0,0,0,20230321
490011001001138,6,0,3,3,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,0,4,2,0,1,5,0,0,0,0,0,0,0,0,0,0,20230321
490011001001140,17,7,8,2,6,3,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,1,14,3,1,6,1,2,13,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001001144,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001153,28,3,18,7,4,8,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,25,26,0,0,2,0,0,28,0,4,6,9,6,19,9,0,0,0,0,0,0,0,0,0,0,20230321
490011001001158,45,3,33,9,5,8,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,42,0,1,0,2,0,45,0,1,10,18,13,30,15,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,50,22,16,12,25,18,7,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,21,2,0,45,1,0,3,0,1,44,6,6,11,8,3,20,30,0,0,0,0,0,0,0,0,0,0,20230321
490011001001176,5,2,1,2,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,3,2,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001193,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001213,5,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,0,2,4,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001215,5,1,3,1,2,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001216,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001256,38,19,14,5,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,36,0,0,0,0,2,33,5,6,7,5,1,26,12,0,0,0,0,0,0,0,0,0,0,20230321
490011001001286,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002001,29,14,13,2,16,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,27,0,0,0,0,2,25,4,4,6,3,2,5,24,0,0,0,0,0,0,0,0,0,0,20230321
490011001002004,9,2,3,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,8,1,1,2,3,1,3,6,0,0,0,0,0,0,0,0,0,0,20230321
490011001002005,5,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001002007,2,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002008,4,1,3,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,4,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002012,7,2,5,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,7,0,0,0,0,0,3,4,1,2,1,1,5,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002014,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002015,53,30,17,6,32,18,3,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,16,0,0,53,0,0,0,0,0,49,4,1,7,13,2,15,38,0,0,0,0,0,0,0,0,0,0,20230321
