w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001095,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001096,4,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001101,8,1,2,5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,8,0,0,0,0,0,8,0,1,2,2,2,4,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001001117,5,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,4,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001122,57,22,19,16,29,21,7,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,35,0,0,47,1,1,3,1,4,46,11,4,17,8,6,25,32,0,0,0,0,0,0,0,0,0,0,20230321
490011001001138,3,1,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001001140,15,5,8,2,3,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,13,2,1,4,3,2,13,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001153,17,3,9,5,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,17,0,0,0,0,0,16,1,2,2,8,2,13,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001001158,88,13,49,26,15,35,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,6,72,82,0,1,2,2,1,84,4,8,31,21,15,56,32,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,46,21,15,10,21,18,7,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,2,0,41,2,0,1,0,2,43,3,4,11,9,1,28,18,0,0,0,0,0,0,0,0,0,0,20230321
