w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001101,6,0,2,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,3,1,2,5,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001117,22,3,10,9,9,9,4,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,19,0,0,3,0,0,22,0,1,10,6,2,15,7,0,0,0,0,0,0,0,0,0,0,20230321
490011001001122,83,24,41,18,40,29,14,0,0,0,6,12,0,31,0,0,0,0,0,0,0,0,0,0,34,0,0,78,2,1,1,0,1,80,3,9,22,22,6,42,41,0,0,0,0,0,0,0,0,0,0,20230321
490011001001138,2,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001140,10,3,4,3,5,3,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,9,1,2,2,2,1,9,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001144,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001153,22,3,14,5,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,21,1,3,6,7,3,14,8,0,0,0,0,0,0,0,0,0,0,20230321
490011001001158,78,13,40,25,9,42,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,76,73,0,1,0,1,3,76,2,2,24,26,13,49,29,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,32,15,13,4,24,4,4,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,22,0,1,28,2,0,1,0,1,30,2,3,1,7,6,14,18,0,0,0,0,0,0,0,0,0,0,20230321
490011001001193,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,20230321
