w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001124,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001149,89,20,43,26,9,59,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,87,86,0,1,0,1,1,87,2,2,23,31,13,59,30,0,0,0,0,0,0,0,0,0,0,20230321
490011001001150,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001157,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,24,13,7,4,17,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,18,1,3,1,0,1,22,2,1,7,3,0,9,15,0,0,0,0,0,0,0,0,0,0,20230321
490011001001213,3,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001286,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002001,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002008,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002016,10,4,4,2,9,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,1,0,0,10,0,0,2,3,1,3,7,0,0,0,0,0,0,0,0,0,0,20230321
490011001002019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002026,6,1,4,1,1,3,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,2,1,1,5,0,0,0,0,0,0,0,0,0,0,20230321
490011001002036,21,10,6,5,7,8,6,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,21,0,3,5,3,0,11,10,0,0,0,0,0,0,0,0,0,0,20230321
490011001002048,5,2,2,1,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002050,2,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002055,9,0,6,3,3,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,9,0,0,2,6,1,5,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001002077,9,6,3,0,7,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,3,0,7,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001003001,35,14,16,5,22,12,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,0,0,31,0,2,2,0,0,29,6,5,10,2,4,21,14,0,0,0,0,0,0,0,0,0,0,20230321
490011001003002,24,18,6,0,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,22,1,1,0,0,0,20,4,1,3,2,0,14,10,0,0,0,0,0,0,0,0,0,0,20230321
490011001003006,271,60,162,49,79,110,82,0,0,0,0,0,0,0,38,0,0,0,0,0,1,55,177,0,0,0,0,269,0,0,0,0,2,267,4,12,65,78,56,79,192,0,0,0,0,0,0,0,0,0,0,20230321
490011001003009,10,3,5,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,1,0,0,0,0,9,1,0,5,2,0,4,6,0,0,0,0,0,0,0,0,0,0,20230321
490011001003010,17,6,10,1,6,9,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,13,0,0,13,0,4,0,0,0,14,3,2,7,1,1,2,15,0,0,0,0,0,0,0,0,0,0,20230321
490011001003024,5,1,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,5,0,0,0,0,0,5,0,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001003029,45,4,30,11,16,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45,0,0,0,0,0,45,0,3,13,11,14,14,31,0,0,0,0,0,0,0,0,0,0,20230321
490011001003030,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001003031,7,2,4,1,0,5,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,6,1,0,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001003037,14,3,8,3,3,8,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,12,2,2,4,3,2,11,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001003040,5,1,4,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,4,1,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001003041,7,2,1,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,7,0,0,0,0,0,7,0,0,2,0,3,4,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001003048,34,17,13,4,18,9,7,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,3,0,0,34,0,0,0,0,0,32,2,2,7,4,4,14,20,0,0,0,0,0,0,0,0,0,0,20230321
490011001003049,7,2,4,1,2,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,7,0,0,1,2,2,3,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001003053,6,2,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,0,0,2,1,1,2,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001003055,416,143,196,77,183,176,57,10,0,0,14,19,1,160,20,0,20,0,5,0,7,0,6,0,89,7,58,394,2,3,11,0,6,388,28,31,112,83,47,192,224,0,0,0,0,0,0,0,0,0,0,20230321
490011001003056,45,9,22,14,26,9,10,0,0,0,0,0,8,2,0,0,0,0,0,0,0,33,0,0,2,0,0,43,1,0,0,0,1,41,4,4,12,11,9,14,31,0,0,0,0,0,0,0,0,0,0,20230321
490011001003058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001003061,5,2,3,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001003067,5,1,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,0,0,0,2,3,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001003073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20230321
490011002001143,4,1,3,0,1,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,20230321
490011002001145,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011002001186,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011002001278,15,5,8,2,3,11,1,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,14,1,2,4,1,3,12,3,0,0,0,0,0,0,0,0,0,0,20230321
490011002001387,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20230321
490011002001460,10,3,7,0,3,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,1,1,3,2,1,9,1,0,0,0,0,0,0,0,0,0,0,20230321
490011002002012,5,2,3,0,2,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,20230321
490011002002022,167,33,105,29,42,69,56,9,41,16,0,34,2,1,0,0,0,0,0,0,0,28,3,0,22,1,10,163,0,2,0,0,2,158,9,16,46,48,24,113,54,0,0,0,0,0,0,0,0,0,0,20230321
490011002002028,12,4,6,2,1,5,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,11,1,0,4,3,1,10,2,0,0,0,0,0,0,0,0,0,0,20230321
490011002002029,12,2,8,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,12,0,0,3,3,4,7,5,0,0,0,0,0,0,0,0,0,0,20230321
490011002003000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
