w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001095,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001096,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001117,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001122,95,37,37,21,37,52,6,0,0,0,0,0,0,35,0,0,0,0,0,5,0,0,0,0,55,0,0,86,1,6,1,0,1,82,13,7,19,23,9,47,48,0,0,0,0,0,0,0,0,0,0,20230321
490011001001138,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001140,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001144,2,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001153,31,3,19,9,1,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,26,29,0,0,1,0,1,30,1,1,10,10,7,23,8,0,0,0,0,0,0,0,0,0,0,20230321
490011001001158,75,8,48,19,8,19,48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,6,56,71,0,1,1,2,0,73,2,5,17,22,23,47,28,0,0,0,0,0,0,0,0,0,0,20230321
490011001001175,57,19,22,16,32,15,10,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,7,0,19,6,0,52,2,3,0,0,0,49,8,2,12,15,9,24,33,0,0,0,0,0,0,0,0,0,0,20230321
490011001001176,2,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001184,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001208,2,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001001213,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001215,8,1,7,0,2,5,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,2,1,3,1,2,6,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001001216,5,0,2,3,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,0,3,0,2,4,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001001256,56,28,16,12,49,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,50,0,1,3,0,2,53,3,5,8,8,7,34,22,0,0,0,0,0,0,0,0,0,0,20230321
490011001001286,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002001,17,2,10,5,8,1,8,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,17,0,0,0,0,0,17,0,2,7,4,2,13,4,0,0,0,0,0,0,0,0,0,0,20230321
490011001002004,4,0,1,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002005,19,3,8,8,8,11,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,19,0,0,0,0,0,18,1,0,6,8,2,11,8,0,0,0,0,0,0,0,0,0,0,20230321
490011001002006,3,1,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002007,5,0,5,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,1,0,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002008,52,16,31,5,31,16,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,44,0,0,50,0,0,1,0,1,49,3,3,9,17,7,12,40,0,0,0,0,0,0,0,0,0,0,20230321
490011001002012,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002014,3,0,3,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002015,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002016,10,0,7,3,5,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,10,0,1,2,5,2,1,9,0,0,0,0,0,0,0,0,0,0,20230321
490011001002020,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002021,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002022,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20230321
490011001002027,65,32,18,15,39,21,5,0,0,0,0,0,0,43,0,0,2,0,0,0,0,0,0,0,20,0,0,64,1,0,0,0,0,58,7,4,9,16,4,16,49,0,0,0,0,0,0,0,0,0,0,20230321
490011001002028,4,2,2,0,2,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,20230321
490011001002041,14,3,8,3,0,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,8,6,2,6,3,0,9,5,0,0,0,0,0,0,0,0,0,0,20230321
490011001002042,21,3,15,3,0,11,10,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,1,0,0,0,0,16,5,4,4,5,5,18,3,0,0,0,0,0,0,0,0,0,0,20230321
490011001002046,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,20230321
490011001002048,8,2,3,3,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,1,2,3,7,1,0,0,0,0,0,0,0,0,0,0,20230321
