"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P16_001N"," !!Total:"
"P16_002N"," !!Total:!!Family households:"
"P16_003N"," !!Total:!!Family households:!!Married couple family"
"P16_004N"," !!Total:!!Family households:!!Other family:"
"P16_005N"," !!Total:!!Family households:!!Other family:!!Male householder, no spouse present"
"P16_006N"," !!Total:!!Family households:!!Other family:!!Female householder, no spouse present"
"P16_007N"," !!Total:!!Nonfamily households:"
"P16_008N"," !!Total:!!Nonfamily households:!!Householder living alone"
"P16_009N"," !!Total:!!Nonfamily households:!!Householder not living alone"
