"GEO_ID","NAME","B11012_001E","B11012_001M","B11012_002E","B11012_002M","B11012_003E","B11012_003M","B11012_004E","B11012_004M","B11012_005E","B11012_005M","B11012_006E","B11012_006M","B11012_007E","B11012_007M","B11012_008E","B11012_008M","B11012_009E","B11012_009M","B11012_010E","B11012_010M","B11012_011E","B11012_011M","B11012_012E","B11012_012M","B11012_013E","B11012_013M","B11012_014E","B11012_014M","B11012_015E","B11012_015M","B11012_016E","B11012_016M","B11012_017E","B11012_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Married-couple household:","Margin of Error!!Total:!!Married-couple household:","Estimate!!Total:!!Married-couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:","Margin of Error!!Total:!!Cohabiting couple household:","Estimate!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:","Margin of Error!!Total:!!Female householder, no spouse or partner present:","Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Estimate!!Total:!!Male householder, no spouse or partner present:","Margin of Error!!Total:!!Male householder, no spouse or partner present:","Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present",
"1500000US490011001001","Block Group 1; Census Tract 1001; Beaver County; Utah","149","84","140","82","75","60","65","53","0","12","0","12","0","12","9","15","9","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US490011001002","Block Group 2; Census Tract 1001; Beaver County; Utah","513","130","380","128","176","100","204","86","0","12","0","12","0","12","62","46","44","41","18","25","0","12","0","12","71","55","24","37","30","39","17","26","0","12",
"1500000US490011001003","Block Group 3; Census Tract 1001; Beaver County; Utah","691","135","480","112","175","69","305","92","0","12","0","12","0","12","98","61","84","56","0","12","14","20","0","12","113","68","100","62","13","19","0","12","0","12",
"1500000US490011002001","Block Group 1; Census Tract 1002; Beaver County; Utah","246","69","191","67","107","50","84","52","0","12","0","12","0","12","22","26","0","12","22","26","0","12","0","12","33","27","17","27","16","25","0","12","0","12",
"1500000US490011002002","Block Group 2; Census Tract 1002; Beaver County; Utah","242","65","197","63","86","35","111","45","14","11","5","9","9","11","15","13","11","12","4","7","0","12","0","12","16","15","10","10","6","11","0","12","0","12",
"1500000US490011002003","Block Group 3; Census Tract 1002; Beaver County; Utah","449","94","306","88","184","62","122","61","33","29","9","13","24","26","48","36","39","33","0","12","9","16","0","12","62","45","34","31","8","12","15","25","5","6",
"1500000US490039601001","Block Group 1; Census Tract 9601; Box Elder County; Utah","319","75","273","73","183","63","90","37","11","11","0","12","11","11","19","17","14","16","0","12","5","7","0","12","16","15","16","15","0","12","0","12","0","12",
"1500000US490039601002","Block Group 2; Census Tract 9601; Box Elder County; Utah","539","89","429","78","188","54","241","73","18","15","11","13","7","9","43","19","28","16","6","7","8","9","1","2","49","34","13","12","22","20","14","20","0","12",
"1500000US490039601003","Block Group 3; Census Tract 9601; Box Elder County; Utah","216","75","173","71","84","53","89","56","0","12","0","12","0","12","9","10","8","10","0","12","1","2","0","12","34","31","33","31","0","12","0","12","1","2",
"1500000US490039602001","Block Group 1; Census Tract 9602; Box Elder County; Utah","617","130","461","140","137","62","324","129","43","60","2","4","41","60","61","46","23","21","4","6","34","39","0","12","52","58","8","6","39","56","4","7","1","2",
"1500000US490039602002","Block Group 2; Census Tract 9602; Box Elder County; Utah","235","63","157","55","116","58","41","34","0","12","0","12","0","12","25","24","25","24","0","12","0","12","0","12","53","48","0","12","25","40","28","29","0","12",
"1500000US490039602003","Block Group 3; Census Tract 9602; Box Elder County; Utah","573","73","392","53","268","56","124","40","40","31","16","20","24","24","87","53","60","51","6","8","16","18","5","7","54","31","33","26","11","12","10","11","0","12",
"1500000US490039602004","Block Group 4; Census Tract 9602; Box Elder County; Utah","366","75","264","64","119","55","145","45","9","13","0","12","9","13","29","21","28","21","0","12","0","12","1","3","64","31","26","19","10","16","28","22","0","12",
"1500000US490039602005","Block Group 5; Census Tract 9602; Box Elder County; Utah","245","78","177","65","108","46","69","47","0","12","0","12","0","12","35","26","15","16","7","12","13","16","0","12","33","45","30","45","3","5","0","12","0","12",
"1500000US490039602006","Block Group 6; Census Tract 9602; Box Elder County; Utah","339","111","134","70","86","75","48","32","45","58","45","58","0","12","145","83","127","82","9","10","9","9","0","12","15","14","10","10","0","12","0","12","5","8",
"1500000US490039603011","Block Group 1; Census Tract 9603.01; Box Elder County; Utah","361","71","294","62","135","52","159","51","0","12","0","12","0","12","35","31","8","12","4","7","18","28","5","12","32","21","28","22","0","12","4","5","0","12",
"1500000US490039603012","Block Group 2; Census Tract 9603.01; Box Elder County; Utah","364","128","287","115","174","97","113","74","0","12","0","12","0","12","11","25","11","25","0","12","0","12","0","12","66","66","66","66","0","12","0","12","0","12",
"1500000US490039603013","Block Group 3; Census Tract 9603.01; Box Elder County; Utah","424","149","167","70","50","34","117","71","0","12","0","12","0","12","63","54","63","54","0","12","0","12","0","12","194","140","57","53","104","127","33","45","0","12",
"1500000US490039603014","Block Group 4; Census Tract 9603.01; Box Elder County; Utah","339","105","255","104","97","50","158","99","16","25","0","12","16","25","56","52","33","39","23","35","0","12","0","12","12","20","12","20","0","12","0","12","0","12",
"1500000US490039603021","Block Group 1; Census Tract 9603.02; Box Elder County; Utah","713","258","464","209","357","212","107","77","0","12","0","12","0","12","130","102","119","107","11","18","0","12","0","12","119","137","119","137","0","12","0","12","0","12",
"1500000US490039603022","Block Group 2; Census Tract 9603.02; Box Elder County; Utah","376","148","254","139","124","74","130","114","0","12","0","12","0","12","105","88","66","78","0","12","39","51","0","12","17","28","17","28","0","12","0","12","0","12",
"1500000US490039603023","Block Group 3; Census Tract 9603.02; Box Elder County; Utah","431","159","239","111","128","86","111","76","0","12","0","12","0","12","107","90","90","90","0","12","17","26","0","12","85","60","50","66","0","12","35","44","0","12",
