"GEO_ID","NAME","B11012_001E","B11012_001M","B11012_002E","B11012_002M","B11012_003E","B11012_003M","B11012_004E","B11012_004M","B11012_005E","B11012_005M","B11012_006E","B11012_006M","B11012_007E","B11012_007M","B11012_008E","B11012_008M","B11012_009E","B11012_009M","B11012_010E","B11012_010M","B11012_011E","B11012_011M","B11012_012E","B11012_012M","B11012_013E","B11012_013M","B11012_014E","B11012_014M","B11012_015E","B11012_015M","B11012_016E","B11012_016M","B11012_017E","B11012_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Married-couple household:","Margin of Error!!Total:!!Married-couple household:","Estimate!!Total:!!Married-couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:","Margin of Error!!Total:!!Cohabiting couple household:","Estimate!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:","Margin of Error!!Total:!!Female householder, no spouse or partner present:","Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Estimate!!Total:!!Male householder, no spouse or partner present:","Margin of Error!!Total:!!Male householder, no spouse or partner present:","Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present",
"1500000US490011001001","Block Group 1, Census Tract 1001, Beaver County, Utah","124","70","88","58","43","48","45","41","24","37","24","37","0","12","12","23","12","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US490011001002","Block Group 2, Census Tract 1001, Beaver County, Utah","390","92","223","74","105","59","118","65","0","12","0","12","0","12","109","58","97","54","12","20","0","12","0","12","58","41","44","35","0","12","14","22","0","12",
"1500000US490011001003","Block Group 3, Census Tract 1001, Beaver County, Utah","694","105","605","114","232","83","373","110","0","12","0","12","0","12","38","35","27","29","0","12","11","17","0","12","51","45","38","38","13","21","0","12","0","12",
"1500000US490011002001","Block Group 1, Census Tract 1002, Beaver County, Utah","236","68","165","64","108","54","57","44","0","12","0","12","0","12","16","18","0","12","16","18","0","12","0","12","55","49","38","51","17","26","0","12","0","12",
"1500000US490011002002","Block Group 2, Census Tract 1002, Beaver County, Utah","256","68","184","62","61","33","123","52","6","8","4","6","2","6","44","29","36","28","8","12","0","12","0","12","22","18","18","17","4","8","0","12","0","12",
"1500000US490011002003","Block Group 3, Census Tract 1002, Beaver County, Utah","513","102","348","89","196","65","152","71","0","12","0","12","0","12","84","50","62","45","11","18","11","19","0","12","81","48","48","35","0","12","11","16","22","23",
"1500000US490039601001","Block Group 1, Census Tract 9601, Box Elder County, Utah","263","52","214","52","104","36","110","38","10","12","0","12","10","12","11","9","6","6","0","12","5","8","0","12","28","20","20","18","4","7","0","12","4","7",
"1500000US490039601002","Block Group 2, Census Tract 9601, Box Elder County, Utah","567","81","449","79","187","54","262","70","13","13","11","12","2","3","62","23","46","21","2","4","14","11","0","12","43","26","19","13","10","13","14","20","0","12",
"1500000US490039601003","Block Group 3, Census Tract 9601, Box Elder County, Utah","198","77","158","70","73","51","85","53","0","12","0","12","0","12","16","15","10","11","0","12","6","9","0","12","24","29","21","28","2","3","0","12","1","3",
