"GEO_ID","NAME","B11012_001E","B11012_001M","B11012_002E","B11012_002M","B11012_003E","B11012_003M","B11012_004E","B11012_004M","B11012_005E","B11012_005M","B11012_006E","B11012_006M","B11012_007E","B11012_007M","B11012_008E","B11012_008M","B11012_009E","B11012_009M","B11012_010E","B11012_010M","B11012_011E","B11012_011M","B11012_012E","B11012_012M","B11012_013E","B11012_013M","B11012_014E","B11012_014M","B11012_015E","B11012_015M","B11012_016E","B11012_016M","B11012_017E","B11012_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Married-couple household:","Margin of Error!!Total:!!Married-couple household:","Estimate!!Total:!!Married-couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:","Margin of Error!!Total:!!Cohabiting couple household:","Estimate!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:","Margin of Error!!Total:!!Female householder, no spouse or partner present:","Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Estimate!!Total:!!Male householder, no spouse or partner present:","Margin of Error!!Total:!!Male householder, no spouse or partner present:","Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present",
"1500000US490011001001","Block Group 1, Census Tract 1001, Beaver County, Utah","91","56","82","53","24","30","58","53","0","12","0","12","0","12","9","16","9","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US490011001002","Block Group 2, Census Tract 1001, Beaver County, Utah","471","115","306","99","139","88","167","85","0","12","0","12","0","12","93","53","87","51","6","11","0","12","0","12","72","46","8","17","49","36","15","25","0","12",
"1500000US490011001003","Block Group 3, Census Tract 1001, Beaver County, Utah","689","142","523","136","179","87","344","113","0","12","0","12","0","12","55","48","33","35","0","12","22","30","0","12","111","69","97","64","14","24","0","12","0","12",
"1500000US490011002001","Block Group 1, Census Tract 1002, Beaver County, Utah","221","61","171","62","99","46","72","41","0","12","0","12","0","12","21","22","0","12","21","22","0","12","0","12","29","20","15","22","14","20","0","12","0","12",
"1500000US490011002002","Block Group 2, Census Tract 1002, Beaver County, Utah","238","60","177","54","77","31","100","42","7","8","3","5","4","6","35","26","35","26","0","12","0","12","0","12","19","17","11","11","8","13","0","12","0","12",
"1500000US490011002003","Block Group 3, Census Tract 1002, Beaver County, Utah","416","100","269","80","136","56","133","60","11","14","0","12","11","14","63","36","44","33","9","14","10","16","0","12","73","41","57","35","9","13","0","12","7","9",
"1500000US490039601001","Block Group 1, Census Tract 9601, Box Elder County, Utah","360","78","328","76","210","72","118","40","17","15","0","12","17","15","7","8","3","4","0","12","4","6","0","12","8","9","8","9","0","12","0","12","0","12",
"1500000US490039601002","Block Group 2, Census Tract 9601, Box Elder County, Utah","585","74","463","81","237","77","226","70","18","15","12","13","6","8","58","22","41","17","4","7","13","12","0","12","46","25","16","11","14","14","16","20","0","12",
"1500000US490039601003","Block Group 3, Census Tract 9601, Box Elder County, Utah","174","70","130","61","53","47","77","47","0","12","0","12","0","12","13","12","8","10","0","12","5","6","0","12","31","28","29","27","1","2","0","12","1","2",
"1500000US490039602001","Block Group 1, Census Tract 9602, Box Elder County, Utah","592","128","388","112","113","53","275","105","61","81","5","8","56","81","75","50","38","30","0","12","37","43","0","12","68","54","28","27","34","47","4","7","2","3",
"1500000US490039602002","Block Group 2, Census Tract 9602, Box Elder County, Utah","251","78","190","60","124","50","66","43","0","12","0","12","0","12","16","22","16","22","0","12","0","12","0","12","45","48","0","12","26","41","19","26","0","12",
"1500000US490039602003","Block Group 3, Census Tract 9602, Box Elder County, Utah","604","76","394","56","246","54","148","47","43","33","15","20","28","28","120","61","63","49","28","26","23","20","6","9","47","27","28","19","5","8","14","17","0","12",
"1500000US490039602004","Block Group 4, Census Tract 9602, Box Elder County, Utah","412","58","284","52","88","33","196","45","11","18","0","12","11","18","50","25","48","25","0","12","0","12","2","3","67","35","29","21","13","18","25","22","0","12",
"1500000US490039602005","Block Group 5, Census Tract 9602, Box Elder County, Utah","220","56","169","53","98","38","71","47","0","12","0","12","0","12","37","26","13","16","8","13","16","16","0","12","14","16","11","16","3","5","0","12","0","12",
"1500000US490039602006","Block Group 6, Census Tract 9602, Box Elder County, Utah","377","126","137","89","101","83","36","26","78","77","74","76","4","6","137","75","119","77","9","10","9","10","0","12","25","24","25","24","0","12","0","12","0","12",
